Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV_Mean,CV_Std,TP,TN,FP,FN,Balanced_Score,Medical_Score,Conservative_Score
Random Forest,0.75,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.8069686411149826,0.7655072463768116,0.0410413129335932,29,28,7,12,0.7680646183085207,0.7397696476964769,0.7692411924119241
Logistic Regression,0.7236842105263158,0.75,0.7317073170731707,0.7407407407407407,0.8013937282229965,0.8052173913043479,0.035973182695946196,30,25,10,11,0.7521140248996474,0.7329589216944802,0.7384467265725289
KNN,0.7236842105263158,0.75,0.7317073170731707,0.7407407407407407,0.7993031358885017,0.7165217391304347,0.0770154375980301,30,25,10,11,0.751486847199299,0.7329589216944802,0.7384467265725289
SVM,0.7105263157894737,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.7986062717770035,0.7696618357487923,0.03726313400873579,30,24,11,11,0.7433046029708417,0.7253530166880616,0.7253530166880616
XGBoost,0.7105263157894737,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.7874564459930314,0.787632850241546,0.04561123333575352,26,28,7,15,0.7312582709245097,0.687806823044307,0.733926556968919
Gradient Boosting,0.6710526315789473,0.7352941176470589,0.6097560975609756,0.6666666666666666,0.7742160278745644,0.7744927536231885,0.0343048237032331,25,26,9,16,0.7006858609939483,0.6532526617835838,0.6909140678094088
Decision Tree,0.631578947368421,0.696969696969697,0.5609756097560976,0.6216216216216216,0.6930313588850174,0.7653140096618358,0.04646167758438435,23,25,10,18,0.6470274730993602,0.6093554284825144,0.6501536546465944
